stu_id,phone,email,home_address,home_postcode,home_country,term_address,term_postcode,term_country,name,dob
,0800 1111,no@stu.id,256-5365 Netus Road 05154,12345,Vietnam,Ap #491-6155 Fringilla Rd.,32687813,Brazil,Vincent Brooks,1997-07-28
A5514A52-5491-333D-D1C9-7CB8673ACDE6,,no@phone.num,Ap #885-4708 Adipiscing Avenue,9618 OL,Sweden,"4903 Elit, Rd.",47988-99513,Indonesia,Kameko Gallagher,1977-02-02
994A111B-6C6E-9998-E502-55A9E522E42B,0800 1111,,no email,27235,Pakistan,676-8952 Suspendisse St.,57271,Peru,Ray Acevedo,1991-08-26
286D124A-87C5-3C7D-7218-687E18397EA2,07393 627478,no@home.addr,,28876,Norway,789-8810 Convallis Av.,17648,Italy,Cleo Farrell,1963-04-03
1A2DDEED-79DE-C5CA-BC86-8C113C0255D8,(014413) 53998,no@home.postcode,2131 Quam Road,,Vietnam,117-7783 Dui. Rd.,390284,Belgium,Xantha Mclean,1953-11-22
714DA36F-84E2-C90D-E5D0-3551B19B09B3,07231 942341,no@home.country,"1677 Ac, Road",45-24,,"P.O. Box 260, 3392 Phasellus St.",3306,Turkey,Brielle Johnston,2001-09-25
5D01E2A9-EEA7-3D2A-156B-93357B5A80CC,0845 46 43,no@term.addr,5700 Cras Avenue,326102,Netherlands,,31557,Indonesia,Warren Peck,1979-09-20
A7E31E3E-FF53-79C9-F1F6-6ACE79B8C3C8,07624 257528,no@term.postcode,Ap #865-5794 Vivamus Rd.,3555,Philippines,962-4479 Elit. Rd.,,France,Vivian Watson,1976-07-01
5B1DF9AF-BA98-2645-6869-D24F32D44DA2,076 5332 7558,no@term.country,163-1068 Molestie Av.,32355,Russian Federation,344-9599 Dictum Rd.,13515,,Jackson Bowers,1946-04-06
DA383EB2-28EA-8596-EA62-0D562A427423,(0111) 638 5311,no@name.atall,220-9732 Varius Rd.,724851,Mexico,674-3496 Tincidunt Rd.,874915,South Korea,,1970-09-23
A8AFE87E-B50E-8A21-E4DB-A53D7298FB92,055 3541 6197,no@dateof.birth,995-1388 Massa. Rd.,81544,Indonesia,198-5409 Ante. Road,59613,Costa Rica,Shea Mcgee,
09D3A997-4763-B7B5-1D31-B48D1B8225A9,(070) 8762 3580,goodcommasin@termaddr.ca,6580 Enim. St.,882821,Russian Federation,"P.O. Box 938, 7124 Eu St.",65385-556,South Africa,Donna Berry,2006-08-22
C6471B39-4299-7E9B-5727-9D89AEA2CAD2,076 7606 2970,sagittisCAPITALISED@protonmail.edu,717-6817 Posuere St.,39163-25747,Singapore,Ap #339-9716 Turpis. Ave,32280,Italy,Lee Case,1979-07-17
5E809209-A56F-9293-A9EB-EF67A9DF35AA,0962 242 8490,wrong@format.dob,Ap #159-7030 Nunc Rd.,385967,Costa Rica,181-5623 Eu St.,66428,South Africa,Savannah Lang,23-12-1958
10203040-5060-7080-A9EB-ABABA9DFADCF,0962 242 8490,not@possible.dob,Ap #999-1235 Nunc Rd.,385967,Somewhere,181-5623 Eu St.,66428,South Africa,Sonoros Long,2001-02-30
A65B14B1-095D-094C-1F30-11986C5CB3B5,(0800) 1111,goodtriple@name.net,Ap #810-9676 Dapibus Avenue,65705,Belgium,"P.O. Box 822, 6735 In Rd.",730177,Russian Federation,Byron David Richardson,1991-02-08
47912D6D-15A8-256E-CD9D-91C6CA7C3571,0845 46 45,email-bad-format,5455 Vel Rd.,S8P 0R4,Brazil,Ap #131-6779 Integer Ave,14803,Russian Federation,Ulla Houston,1958-10-16
8C8CE9EE-09BD-AACA-E5C4-47B229CDBBE9,0800 760 1714,goodsinglequote@in.name,6121 Ipsum. Av.,352580,China,Ap #104-2457 Proin Road,70807,Spain,"Yoshi Joh'n D'Wagner",1990-01-13
9A5E845D-27A9-C9E7-EA82-F64CBC089BDA,(0161) 798 2467,goodconsequat@record.edu,421-2317 Eget Avenue,33912,Pakistan,651-1322 Metus. Rd.,44573,Germany,Ignatius Duran,1943-07-20
3DEA84A5-681F-9777-1DA5-1D3BA46C584C,0500 362766,good.comma@inhomeaddr.edu,"P.O. Box 666, 133 Neque Av.",65-39,United States,950-6606 Libero Rd.,30139,Russian Federation,Karen Carver,1945-11-26
D4CC8348-4421-8BD6-7C31-B1B7C997A53C,0800 385 7727,good.comma@intermaddr.net,Ap #880-6858 Ut Av.,N4G 7NP,Vietnam,"Ap #708-6626 Eu, Avenue",844761,Austria,Mohammad Dotson,1949-05-16
DA9C5319-3EAE-0B29-BBF8-23E773298398,(01866) 51343,good.brackets@inphone.org,Ap #133-6661 Nec Avenue,04672,Brazil,Ap #942-2837 Sem Rd.,3567,United States,Aretha Walter,1969-08-23
FC039F6D-F1A9-653E-5AE2-282AD6B449E5,07624 612476,goodenim.sed@aol.ca,119-7665 Sed Street,9424,South Korea,396-5615 Egestas Ave,49899-58388,Turkey,Xanthus Chang,1991-06-14
